species,location,depth,transect,bl_count,pb_count,p_count,h_count,coral_count
plob,north,dp,one,0,5,87,12,104
plob,north,dp,two,0,49,52,12,113
plob,north,sh,one,0,40,28,15,83
plob,north,sh,two,0,31,37,20,88
plob,se,dp,one,0,0,23,11,34
plob,se,dp,two,0,2,2,0,28
plob,se,sh,one,0,0,29,6,35
plob,se,sh,two,0,0,9,6,15
plob,west,dp,one,0,70,17,2,89
plob,west,dp,two,0,55,16,2,73
plob,west,sh,one,0,64,5,0,71
plob,west,sh,two,0,46,55,5,101
poci,north,dp,one,1,2,3,1,7
poci,north,dp,two,0,1,1,0,2
poci,north,sh,one,0,0,0,0,0
poci,north,sh,two,0,0,0,1,1
poci,se,dp,one,1,27,19,10,57
poci,se,dp,two,2,9,16,0,58
poci,se,sh,one,0,2,59,14,75
poci,se,sh,two,1,5,45,9,60
poci,west,dp,one,4,0,7,2,13
poci,west,dp,two,0,2,8,4,14
poci,west,sh,one,0,1,13,1,15
poci,west,sh,two,2,0,9,7,18
