location,depth,transect,group,total_count,total_points
north,dp,one,BARE,0,126
north,dp,one,CCA,0,126
north,dp,one,MA,5,126
north,dp,one,PLOB,104,126
north,dp,one,POCI,7,126
north,dp,one,SAND,10,126
north,dp,one,SPONGE,0,126
north,dp,one,TURF,0,126
north,dp,two,BARE,0,126
north,dp,two,CCA,0,126
north,dp,two,MA,7,126
north,dp,two,PLOB,113,126
north,dp,two,POCI,2,126
north,dp,two,SAND,1,126
north,dp,two,SPONGE,0,126
north,dp,two,TURF,3,126
north,sh,one,BARE,8,126
north,sh,one,CCA,0,126
north,sh,one,MA,6,126
north,sh,one,PLOB,83,126
north,sh,one,POCI,0,126
north,sh,one,SAND,24,126
north,sh,one,SPONGE,0,126
north,sh,one,TURF,5,126
north,sh,two,BARE,10,126
north,sh,two,CCA,0,126
north,sh,two,MA,3,126
north,sh,two,PLOB,88,126
north,sh,two,POCI,1,126
north,sh,two,SAND,23,126
north,sh,two,SPONGE,0,126
north,sh,two,TURF,1,126
se,dp,one,BARE,33,124
se,dp,one,CCA,0,124
se,dp,one,MA,0,124
se,dp,one,PLOB,34,124
se,dp,one,POCI,57,124
se,dp,one,SAND,0,124
se,dp,one,SPONGE,0,124
se,dp,one,TURF,0,124
se,dp,two,BARE,13,105
se,dp,two,CCA,6,105
se,dp,two,MA,0,105
se,dp,two,PLOB,28,105
se,dp,two,POCI,58,105
se,dp,two,SAND,0,105
se,dp,two,SPONGE,0,105
se,dp,two,TURF,0,105
se,sh,one,BARE,9,126
se,sh,one,CCA,4,126
se,sh,one,MA,0,126
se,sh,one,PLOB,35,126
se,sh,one,POCI,75,126
se,sh,one,SAND,0,126
se,sh,one,SPONGE,0,126
se,sh,one,TURF,3,126
se,sh,two,BARE,45,126
se,sh,two,CCA,5,126
se,sh,two,MA,1,126
se,sh,two,PLOB,15,126
se,sh,two,POCI,60,126
se,sh,two,SAND,0,126
se,sh,two,SPONGE,0,126
se,sh,two,TURF,0,126
west,dp,one,BARE,1,126
west,dp,one,CCA,0,126
west,dp,one,MA,10,126
west,dp,one,PLOB,89,126
west,dp,one,POCI,13,126
west,dp,one,SAND,10,126
west,dp,one,SPONGE,0,126
west,dp,one,TURF,3,126
west,dp,two,BARE,4,126
west,dp,two,CCA,0,126
west,dp,two,MA,0,126
west,dp,two,PLOB,73,126
west,dp,two,POCI,14,126
west,dp,two,SAND,31,126
west,dp,two,SPONGE,0,126
west,dp,two,TURF,4,126
west,sh,one,BARE,0,126
west,sh,one,CCA,0,126
west,sh,one,MA,5,126
west,sh,one,PLOB,74,126
west,sh,one,POCI,15,126
west,sh,one,SAND,14,126
west,sh,one,SPONGE,9,126
west,sh,one,TURF,9,126
west,sh,two,BARE,0,126
west,sh,two,CCA,0,126
west,sh,two,MA,1,126
west,sh,two,PLOB,101,126
west,sh,two,POCI,18,126
west,sh,two,SAND,4,126
west,sh,two,SPONGE,0,126
west,sh,two,TURF,2,126
