material,range,depth,range_mean,mbc
NDM,0-3,1.5,0-10,13322.756
HAHTM,0-5,2.5,0-10,5251.113
NDM,0-5,2.5,0-10,2253.029
HAHTM,0-6,3,0-10,3273.606
HAHTM,0-6,3,0-10,2881.409
HAHTM,0-9,4.5,0-10,1526.776
NDM,6-Mar,4.5,0-10,7314.128
HAHTM,0-13,6.5,0-10,895.614
HAHTM,0-13,6.5,0-10,581.138
NDM,0-15,7.5,0-10,1251.818
NDM,11-May,8,0-10,692.213
HAHTM,0-17,8.5,0-10,1296.439
NDM,12-Jun,9,0-10,6322.571
HAHTM,16-Jun,11,10-20,196.525
HAHTM,25-May,15,10-20,435.551
HAHTM,21-Sep,15,10-20,619.199
NDM,19-Dec,15.5,10-20,838.347
HAHTM,25-Jun,15.5,10-20,442.632
HAHTM,13-19,16,10-20,262.403
NDM,26-Nov,18.5,10-20,299.546
HAHTM,13-28,20.5,10-20,261.725
HAHTM,16-28,22,10-20,143.822
HAHTM,19-25,22,10-20,299.623
NDM,15-35,25,10-20,263.912
NDM,19-33,26,10-20,333.523
HAHTM,21-31,26,10-20,221.808
HAHTM,25-34,29.5,10-20,212.948
HAHTM,25-35,30,10-20,224.34
HAHTM,25-39,32,30-50,352.168
HAHTM,17-50,33.5,30-50,377.46
HAHTM,28-43,35.5,30-50,231.191
NDM,26-47,36.5,30-50,204.767
HAHTM,34-40,37,30-50,137.354
HAHTM,35-42,38.5,30-50,308.525
HAHTM,31-49,40,30-50,206.056
NDM,33-47,40,30-50,79.545
HAHTM,28-54,41,30-50,135.695
HAHTM,40-44,42,30-50,142.907
HAHTM,42-49,45.5,30-50,330.242
NDM,35-59,47,30-50,124.34
HAHTM,39-56,47.5,30-50,300.578
HAHTM,44-56,50,30-50,140.947
HAHTM,43-63,53,50-70,120.524
NDM,47-65,56,50-70,234.716
HAHTM,50-67,58.5,50-70,249.895
HAHTM,49-70,59.5,50-70,206.732
HAHTM,49-71,60,50-70,249.712
HAHTM,54-67,60.5,50-70,145.582
NDM,47-78,62.5,50-70,233.217
HAHTM,56-71,63.5,50-70,200.425
HAHTM,63-77,70,50-70,146.195
HAHTM,56-86,71,70-90,207.947
NDM,59-85,72,70-90,99.238
NDM,65-83,74,70-90,252.794
HAHTM,70-90,80,70-90,193.99
HAHTM,67-94,80.5,70-90,214.724
HAHTM,77-84,80.5,70-90,211.719
HAHTM,71-91,81,70-90,306.72
HAHTM,67-102,84.5,70-90,318.24
NDM,83-93,88,70-90,192.918
NDM,78-101,89.5,70-90,333.465
HAHTM,71-110,90.5,90+,435.382
HAHTM,84-104,94,90+,152.746
NDM,85-105,95,90+,234.823
HAHTM,90-100,95,90+,246.971
HAHTM,94-104,99,90+,246.966
NDM,93-106,99.5,90+,200.934
NDM,101-110,105.5,90+,237.216
NDM,105-113,109,90+,76.429
HAHTM,91-130,110.5,90+,238.18
NDM,113-138,125.5,90+,68.242
