material,depth_range,depth_cat,depth_mean,mbc
HAHTM,0-11,1,6.5,895.6144179
HAHTM,11-26,2,20.5,261.7249903
HAHTM,26-38,3,35.5,231.1909226
HAHTM,38-54,4,53,120.5239193
HAHTM,54-67,5,70,146.1949601
HAHTM,67-81,6,80.5,211.7185569
HAHTM,81-96,7,94,152.7459593
HAHTM,0-11,1,3,3273.606447
HAHTM,11-26,2,11,196.5248791
HAHTM,26-38,3,22,143.8222224
HAHTM,38-54,4,41,135.6953781
HAHTM,54-67,5,60.5,145.5824099
HAHTM,67-81,6,84.5,318.240497
NDM,0-11,1,7.5,1251.818165
NDM,11-26,2,25,263.9117734
NDM,26-38,3,47,124.3399427
NDM,38-54,4,72,99.23842783
NDM,54-67,5,95,234.8233468
NDM,67-81,6,109,76.42933227
NDM,81-96,7,125.5,68.24226585
HAHTM,0-11,1,8.5,1296.438691
HAHTM,11-26,2,33.5,377.460191
HAHTM,26-38,3,58.5,249.8946951
HAHTM,38-54,4,80.5,214.7239281
HAHTM,54-67,5,99,246.965555
HAHTM,0-11,1,3,2881.409171
HAHTM,11-26,2,15.5,442.6316827
HAHTM,26-38,3,30,224.3403407
HAHTM,38-54,4,38.5,308.5246799
HAHTM,54-67,5,45.5,330.2415781
HAHTM,67-81,6,60,249.7116293
HAHTM,81-96,7,81,306.7203041
HAHTM,96-111,8,110.5,238.1799594
HAHTM,0-11,1,4.5,1526.775501
HAHTM,11-26,2,15,619.1987911
HAHTM,26-38,3,26,221.8082424
HAHTM,38-54,4,40,206.0559085
HAHTM,54-67,5,59.5,206.7323517
HAHTM,67-81,6,80,193.9900185
HAHTM,81-96,7,95,246.9709033
HAHTM,0-11,1,6.5,581.1377733
HAHTM,11-26,2,16,262.4026501
HAHTM,26-38,3,22,299.6228799
HAHTM,38-54,4,29.5,212.947847
HAHTM,54-67,5,37,137.3537471
HAHTM,67-81,6,42,142.9068785
HAHTM,81-96,7,50,140.9469319
HAHTM,96-111,8,71,207.9467642
HAHTM,0-11,1,2.5,5251.1133
HAHTM,11-26,2,15,435.5506143
HAHTM,26-38,3,32,352.1675021
HAHTM,38-54,4,47.5,300.5780811
HAHTM,54-67,5,63.5,200.4249938
HAHTM,67-81,6,90.5,435.3818677
NDM,0-11,1,2.5,2253.029181
NDM,11-26,2,8,692.2133427
NDM,26-38,3,18.5,299.5456459
NDM,38-54,4,36.5,204.76681
NDM,54-67,5,56,234.7158528
NDM,67-81,6,74,252.7939386
NDM,81-96,7,88,192.9183935
NDM,96-111,8,99.5,200.933947
NDM,0-11,1,1.5,13322.75621
NDM,11-26,2,4.5,7314.128166
NDM,26-38,3,9,6322.570717
NDM,38-54,4,15.5,838.3474588
NDM,54-67,5,26,333.5233308
NDM,67-81,6,40,79.54506865
NDM,81-96,7,62.5,233.2168119
NDM,96-111,8,89.5,333.464851
