material,depth_cat,depth_mean,mbc
HAHTM,1,6.5,895.6144179
HAHTM,2,20.5,261.7249903
HAHTM,3,35.5,231.1909226
HAHTM,4,53,120.5239193
HAHTM,5,70,146.1949601
HAHTM,6,80.5,211.7185569
HAHTM,7,94,152.7459593
HAHTM,1,3,3273.606447
HAHTM,2,11,196.5248791
HAHTM,3,22,143.8222224
HAHTM,4,41,135.6953781
HAHTM,5,60.5,145.5824099
HAHTM,6,84.5,318.240497
NDM,1,7.5,1251.818165
NDM,2,25,263.9117734
NDM,3,47,124.3399427
NDM,4,72,99.23842783
NDM,5,95,234.8233468
NDM,6,109,76.42933227
NDM,7,125.5,68.24226585
HAHTM,1,8.5,1296.438691
HAHTM,2,33.5,377.460191
HAHTM,3,58.5,249.8946951
HAHTM,4,80.5,214.7239281
HAHTM,5,99,246.965555
HAHTM,1,3,2881.409171
HAHTM,2,15.5,442.6316827
HAHTM,3,30,224.3403407
HAHTM,4,38.5,308.5246799
HAHTM,5,45.5,330.2415781
HAHTM,6,60,249.7116293
HAHTM,7,81,306.7203041
HAHTM,8,110.5,238.1799594
HAHTM,1,4.5,1526.775501
HAHTM,2,15,619.1987911
HAHTM,3,26,221.8082424
HAHTM,4,40,206.0559085
HAHTM,5,59.5,206.7323517
HAHTM,6,80,193.9900185
HAHTM,7,95,246.9709033
HAHTM,1,6.5,581.1377733
HAHTM,2,16,262.4026501
HAHTM,3,22,299.6228799
HAHTM,4,29.5,212.947847
HAHTM,5,37,137.3537471
HAHTM,6,42,142.9068785
HAHTM,7,50,140.9469319
HAHTM,8,71,207.9467642
HAHTM,1,2.5,5251.1133
HAHTM,2,15,435.5506143
HAHTM,3,32,352.1675021
HAHTM,4,47.5,300.5780811
HAHTM,5,63.5,200.4249938
HAHTM,6,90.5,435.3818677
NDM,1,2.5,2253.029181
NDM,2,8,692.2133427
NDM,3,18.5,299.5456459
NDM,4,36.5,204.76681
NDM,5,56,234.7158528
NDM,6,74,252.7939386
NDM,7,88,192.9183935
NDM,8,99.5,200.933947
NDM,1,1.5,13322.75621
NDM,2,4.5,7314.128166
NDM,3,9,6322.570717
NDM,4,15.5,838.3474588
NDM,5,26,333.5233308
NDM,6,40,79.54506865
NDM,7,62.5,233.2168119
NDM,8,89.5,333.464851
